payment_id,order_id,payment_method,payment_date,amount
384,384,PayPal,2022-11-20,107.4
385,385,PayPal,2023-08-13,88.51
386,386,Debit Card,2024-03-01,170.5
387,387,Debit Card,2022-07-06,459.26
388,388,PayPal,2022-11-10,370.71
389,389,Bank Transfer,2024-03-18,1957.9
390,390,Debit Card,2023-07-12,317.89
391,391,Bank Transfer,2023-08-27,233.13
392,392,Bank Transfer,2023-11-26,468.6
393,393,Bank Transfer,2024-05-15,763.88
394,394,Mobile Money,2024-08-14,66.75
395,395,Bank Transfer,2022-10-22,1413.11
396,396,Credit Card,2022-10-09,1487.55
397,397,Debit Card,2022-09-18,118.65
398,398,PayPal,2024-08-20,1068.27
399,399,Debit Card,2022-06-15,515.71
400,400,PayPal,2023-12-30,707.78
401,401,Bank Transfer,2023-01-16,781.32
402,402,Credit Card,2023-09-15,1865.08
403,403,Bank Transfer,2023-04-02,307.38
404,404,Bank Transfer,2023-06-28,1869.58
405,405,Debit Card,2023-04-27,845.2
406,406,Credit Card,2024-01-21,1182.61
407,407,Bank Transfer,2022-06-20,613.45
408,408,Credit Card,2022-08-12,200.24
409,409,Bank Transfer,2023-03-05,484.16
410,410,Debit Card,2024-02-28,1442.94
411,411,Credit Card,2023-09-17,2537.69
412,412,Debit Card,2023-03-18,191.95
413,413,Credit Card,2024-05-28,342.96
414,414,Credit Card,2023-05-06,59.06
415,415,Bank Transfer,2024-08-06,291.51
416,416,Bank Transfer,2023-05-28,1511.77
417,417,PayPal,2022-06-25,284.0
418,418,PayPal,2024-06-21,463.71
419,419,Debit Card,2023-08-08,62.22
420,420,Credit Card,2022-06-01,378.92
421,421,PayPal,2023-11-26,53.25
422,422,Mobile Money,2023-05-08,829.81
423,423,Credit Card,2022-07-25,2000.07
424,424,PayPal,2023-04-11,99.36
425,425,Bank Transfer,2024-07-15,1105.78
426,426,Mobile Money,2022-07-07,817.78
427,427,Debit Card,2022-12-29,1336.95
428,428,Debit Card,2022-09-19,50.11
429,429,PayPal,2024-05-04,317.9
430,430,Bank Transfer,2023-05-29,2546.8
431,431,Mobile Money,2023-01-25,2661.1
432,432,Mobile Money,2023-06-18,381.29
433,433,Bank Transfer,2022-07-27,488.34
434,434,Debit Card,2023-07-25,359.87
435,435,Bank Transfer,2023-12-06,660.78
436,436,Mobile Money,2024-04-21,336.35
437,437,PayPal,2022-07-06,468.87
438,438,Bank Transfer,2023-12-13,1340.36
439,439,Mobile Money,2023-04-10,521.09
440,440,Debit Card,2022-10-22,613.56
441,441,Credit Card,2022-07-11,276.17
442,442,Credit Card,2024-07-29,469.51
443,443,Bank Transfer,2024-06-30,37.08
444,444,PayPal,2023-11-24,1485.54
445,445,Mobile Money,2023-03-19,1322.96
446,446,PayPal,2022-06-16,600.07
447,447,PayPal,2023-11-22,506.71
448,448,PayPal,2022-12-13,461.24
449,449,Bank Transfer,2024-08-25,131.53
450,450,Credit Card,2023-05-20,494.18
451,451,Mobile Money,2023-11-01,532.94
452,452,Credit Card,2023-08-20,593.99
453,453,Debit Card,2024-01-09,892.92
454,454,Debit Card,2023-11-16,1802.65
455,455,Mobile Money,2023-06-04,773.63
456,456,Debit Card,2023-05-23,1290.02
457,457,Debit Card,2023-02-16,714.9
458,458,PayPal,2023-09-04,1331.24
459,459,PayPal,2023-10-28,2663.22
460,460,Bank Transfer,2023-02-06,193.09
461,461,Credit Card,2023-12-23,1326.17
462,462,PayPal,2024-04-11,1203.99
463,463,Debit Card,2023-08-02,1550.75
464,464,PayPal,2022-09-30,493.34
465,465,Debit Card,2022-12-28,1861.71
466,466,Debit Card,2023-07-16,1325.04
467,467,Credit Card,2022-11-13,1459.21
468,468,Mobile Money,2024-01-24,2087.76
469,469,Debit Card,2023-08-05,1161.86
470,470,Mobile Money,2023-01-25,1655.95
471,471,Credit Card,2023-07-13,22.48
472,472,Mobile Money,2024-09-03,666.06
473,473,Debit Card,2023-08-22,429.51
474,474,PayPal,2022-11-09,567.87
475,475,PayPal,2024-01-11,1823.6
476,476,Credit Card,2023-08-11,2113.22
477,477,Mobile Money,2022-06-06,2070.11
478,478,Debit Card,2022-10-25,955.04
479,479,Credit Card,2024-07-29,585.68
480,480,Bank Transfer,2023-05-12,741.91
481,481,Mobile Money,2023-02-14,928.78
482,482,Credit Card,2024-07-07,1121.65
483,483,Credit Card,2022-11-10,1966.56
484,484,Bank Transfer,2024-05-09,853.45
485,485,Mobile Money,2023-05-26,320.94
486,486,Credit Card,2024-07-31,512.83
487,487,Mobile Money,2024-04-30,121.96
488,488,Bank Transfer,2022-08-31,621.77
489,489,Bank Transfer,2022-12-02,1316.29
490,490,PayPal,2023-03-19,729.5
491,491,Debit Card,2023-07-06,50.87
492,492,Credit Card,2022-06-11,921.74
493,493,PayPal,2022-07-05,764.14
494,494,Bank Transfer,2023-03-18,1015.27
495,495,Mobile Money,2023-10-23,203.76
496,496,Debit Card,2024-06-15,1105.0
497,497,Bank Transfer,2023-03-11,1343.42
498,498,PayPal,2022-11-13,119.16
499,499,Debit Card,2024-08-29,668.71
500,500,Credit Card,2023-10-24,378.55
501,501,Credit Card,2024-06-04,445.54
502,502,Mobile Money,2023-09-25,574.21
503,503,Mobile Money,2023-07-25,452.85
504,504,Debit Card,2022-08-05,938.73
505,505,Credit Card,2024-07-11,358.89
506,506,Credit Card,2023-10-22,200.83
507,507,Bank Transfer,2024-03-28,194.51
508,508,Credit Card,2022-08-01,1224.05
509,509,Debit Card,2024-05-01,485.38
510,510,Bank Transfer,2023-09-20,297.24
511,511,Credit Card,2024-08-06,1418.0
512,512,Credit Card,2022-12-02,1750.41
513,513,Bank Transfer,2024-07-14,242.24
514,514,Debit Card,2022-08-19,1247.09
515,515,Debit Card,2024-03-24,158.83
516,516,Debit Card,2024-03-05,1414.24
517,517,Mobile Money,2022-06-04,1173.38
518,518,Bank Transfer,2024-08-02,1405.07
519,519,Debit Card,2023-11-09,345.98
520,520,Debit Card,2024-09-05,463.62
521,521,PayPal,2024-07-29,1925.12
522,522,Mobile Money,2023-04-28,603.98
523,523,Bank Transfer,2023-03-08,2503.59
524,524,PayPal,2023-06-13,845.4
525,525,Mobile Money,2024-07-09,50.45
526,526,Credit Card,2023-03-29,509.49
527,527,Bank Transfer,2023-03-21,1437.29
528,528,Bank Transfer,2024-06-06,569.8
529,529,Bank Transfer,2023-06-12,137.11
530,530,PayPal,2023-08-19,798.62
531,531,Credit Card,2022-11-13,699.12
532,532,Credit Card,2024-06-26,318.4
533,533,Debit Card,2022-08-07,307.41
534,534,Bank Transfer,2024-04-03,1157.63
535,535,Mobile Money,2022-07-25,433.15
536,536,Bank Transfer,2024-06-14,436.63
537,537,Debit Card,2023-11-22,153.49
538,538,Credit Card,2024-07-02,881.16
539,539,PayPal,2022-11-19,200.62
540,540,PayPal,2024-06-23,241.69
541,541,Credit Card,2024-04-06,2488.22
542,542,Bank Transfer,2023-05-30,858.19
543,543,Bank Transfer,2023-04-21,435.74
544,544,Credit Card,2024-07-31,1193.98
545,545,Mobile Money,2023-12-05,335.49
546,546,Credit Card,2024-02-09,480.98
547,547,PayPal,2023-10-27,1345.3
548,548,Bank Transfer,2023-02-24,205.81
549,549,Credit Card,2023-06-04,195.24
550,550,Credit Card,2023-09-01,329.38
551,551,Bank Transfer,2023-10-23,644.34
552,552,Debit Card,2022-12-07,2365.51
553,553,PayPal,2024-02-23,1638.4
554,554,Bank Transfer,2022-08-10,866.38
555,555,Debit Card,2022-09-14,57.36
556,556,Debit Card,2023-07-10,38.52
557,557,PayPal,2023-03-03,338.98
558,558,Bank Transfer,2024-03-02,401.14
559,559,Debit Card,2023-12-08,816.22
560,560,PayPal,2023-09-11,1020.13
561,561,PayPal,2022-12-30,26.81
562,562,Debit Card,2023-10-08,355.9
563,563,Bank Transfer,2022-10-03,260.19
564,564,Credit Card,2022-11-27,579.76
565,565,Bank Transfer,2024-06-12,83.1
566,566,Debit Card,2024-05-19,804.85
567,567,Mobile Money,2023-11-15,251.41
568,568,PayPal,2022-06-09,1218.76
569,569,Mobile Money,2023-02-27,356.28
570,570,PayPal,2022-10-22,1536.46
571,571,Bank Transfer,2024-03-04,28.42
572,572,Mobile Money,2023-09-29,164.86
573,573,Bank Transfer,2022-08-19,1474.83
574,574,Credit Card,2022-11-05,1268.6
575,575,Bank Transfer,2024-09-12,802.39
576,576,Credit Card,2023-10-07,782.98
577,577,Credit Card,2022-11-21,2154.66
578,578,Mobile Money,2023-03-19,1337.39
579,579,Mobile Money,2024-01-23,223.0
580,580,Credit Card,2023-12-31,429.03
581,581,Credit Card,2024-05-29,1990.6
582,582,Credit Card,2024-03-07,1677.86
583,583,Debit Card,2022-06-05,301.65
584,584,Credit Card,2022-08-22,409.6
585,585,Mobile Money,2022-10-28,30.61
586,586,PayPal,2024-05-17,1540.7
587,587,PayPal,2023-03-11,421.9
588,588,Credit Card,2023-05-31,95.65
589,589,PayPal,2024-09-10,1285.92
590,590,Bank Transfer,2022-07-16,331.13
591,591,PayPal,2022-12-17,1452.36
592,592,Mobile Money,2024-06-28,1475.3
593,593,Bank Transfer,2024-09-05,554.54
594,594,Credit Card,2024-02-12,597.07
595,595,Debit Card,2022-12-31,464.29
596,596,PayPal,2024-04-26,412.74
597,597,Mobile Money,2024-08-15,452.56
598,598,Bank Transfer,2024-04-22,167.62
599,599,Bank Transfer,2022-08-11,1466.94
600,600,PayPal,2024-04-02,225.64
601,601,Bank Transfer,2023-11-25,735.97
602,602,PayPal,2022-06-08,1233.06
603,603,PayPal,2022-06-28,405.96
604,604,Bank Transfer,2022-08-11,1050.65
605,605,Debit Card,2023-01-04,228.22
606,606,Bank Transfer,2022-08-28,969.77
607,607,Debit Card,2022-11-16,501.7
608,608,Mobile Money,2023-08-24,1746.72
609,609,Debit Card,2024-01-28,1740.77
610,610,Debit Card,2023-02-13,676.57
611,611,Mobile Money,2023-05-18,349.96
612,612,Debit Card,2022-09-10,1400.54
613,613,PayPal,2024-03-04,38.25
614,614,Credit Card,2023-07-24,98.61
615,615,Mobile Money,2022-11-23,2376.05
616,616,Debit Card,2024-09-02,706.33
617,617,Debit Card,2023-02-23,413.91
618,618,Debit Card,2022-10-03,13.54
619,619,Debit Card,2024-08-11,243.45
620,620,Credit Card,2022-12-16,352.26
621,621,Credit Card,2024-07-29,200.1
622,622,Bank Transfer,2022-12-27,575.6
623,623,Debit Card,2023-11-30,1161.55
624,624,Credit Card,2024-08-02,799.35
625,625,Debit Card,2022-11-12,607.97
626,626,Mobile Money,2022-08-18,469.83
627,627,Debit Card,2024-02-19,1335.47
628,628,Mobile Money,2024-04-26,459.97
629,629,Debit Card,2024-04-23,187.52
630,630,Credit Card,2024-08-13,124.38
631,631,Credit Card,2024-01-14,188.9
632,632,PayPal,2023-12-29,918.33
633,633,Bank Transfer,2022-08-19,223.86
634,634,Bank Transfer,2023-04-22,274.5
635,635,Credit Card,2024-06-12,83.06
636,636,Debit Card,2023-03-07,1475.47
637,637,Mobile Money,2022-08-28,915.38
638,638,PayPal,2022-10-10,1370.04
639,639,Debit Card,2023-10-28,278.3
640,640,Bank Transfer,2023-02-22,1299.59
641,641,Debit Card,2024-05-11,56.28
